event_id,user_id,event_date,country,device_type,doc_type,step,status,duration_ms,fail_reason,review_type,is_retry,risk_level,sanctions_hit,pep_hit,alert_level,experiment_group
EVT-000001,USR-000001,2025-04-11,阿联酋,Android,id_card,register,success,3300,nil,auto,False,low,False,False,,control
EVT-000001,USR-000001,2025-04-11,阿联酋,Android,id_card,doc_capture,success,25538,nil,auto,False,low,False,False,,control
EVT-000001,USR-000001,2025-04-11,阿联酋,Android,id_card,ocr,success,2356,nil,auto,False,low,False,False,,control
EVT-000001,USR-000001,2025-04-11,阿联酋,Android,id_card,liveness,fail,41976,deepfake,auto,False,low,False,False,,control
EVT-000002,USR-000002,2025-04-16,印度尼西亚,iOS,id_card,register,success,1147,nil,auto,False,low,False,False,,control
EVT-000002,USR-000002,2025-04-16,印度尼西亚,iOS,id_card,doc_capture,success,13828,nil,auto,False,low,False,False,,control
EVT-000002,USR-000002,2025-04-16,印度尼西亚,iOS,id_card,ocr,fail,8880,glare,auto,False,low,False,False,,control
EVT-000003,USR-000003,2025-04-29,墨西哥,Android,drivers_license,register,success,636,nil,auto,False,low,False,False,,control
EVT-000003,USR-000003,2025-04-29,墨西哥,Android,drivers_license,doc_capture,success,20460,nil,auto,True,high,False,False,,control
EVT-000003,USR-000003,2025-04-29,墨西哥,Android,drivers_license,ocr,success,7176,nil,auto,False,low,False,False,,control
EVT-000003,USR-000003,2025-04-29,墨西哥,Android,drivers_license,liveness,success,40817,nil,auto,False,low,False,False,,control
EVT-000003,USR-000003,2025-04-29,墨西哥,Android,drivers_license,review,success,99551,nil,manual,False,low,False,False,,control
EVT-000003,USR-000003,2025-04-29,墨西哥,Android,drivers_license,approved,success,1607,nil,manual,False,low,False,False,,control
EVT-000003,USR-000003,2025-04-29,墨西哥,Android,drivers_license,first_deposit,fail,18392,deepfake,auto,False,low,False,False,,control
EVT-000004,USR-000004,2025-04-15,巴西,Android,passport,register,success,1297,nil,auto,False,low,False,False,,control
EVT-000004,USR-000004,2025-04-15,巴西,Android,passport,doc_capture,success,8239,nil,auto,False,low,False,False,,control
EVT-000004,USR-000004,2025-04-15,巴西,Android,passport,ocr,success,13749,nil,auto,False,low,False,False,,control
EVT-000004,USR-000004,2025-04-15,巴西,Android,passport,liveness,success,30762,nil,auto,False,low,False,False,,control
EVT-000004,USR-000004,2025-04-15,巴西,Android,passport,review,success,48045,nil,auto,False,low,False,False,,control
EVT-000004,USR-000004,2025-04-15,巴西,Android,passport,approved,fail,2372,glare,auto,False,low,False,False,,control
EVT-000005,USR-000005,2025-04-29,印度,Android,id_card,register,success,649,nil,auto,False,low,False,False,,control
EVT-000005,USR-000005,2025-04-29,印度,Android,id_card,doc_capture,fail,17170,blur,auto,False,low,False,False,,control
EVT-000006,USR-000006,2025-04-04,巴西,Web,passport,register,success,894,nil,auto,False,low,False,False,,group_a
EVT-000006,USR-000006,2025-04-04,巴西,Web,passport,doc_capture,success,14860,nil,auto,True,low,False,False,,group_a
EVT-000006,USR-000006,2025-04-04,巴西,Web,passport,ocr,success,3292,nil,auto,False,low,False,False,,group_a
EVT-000006,USR-000006,2025-04-04,巴西,Web,passport,liveness,success,22198,nil,auto,False,low,False,False,,group_a
EVT-000006,USR-000006,2025-04-04,巴西,Web,passport,review,success,37853,nil,manual,False,medium,False,False,,group_a
EVT-000006,USR-000006,2025-04-04,巴西,Web,passport,approved,success,1949,nil,manual,False,low,False,False,,group_a
EVT-000006,USR-000006,2025-04-04,巴西,Web,passport,first_deposit,fail,13336,occlusion,auto,False,low,False,False,,group_a
EVT-000007,USR-000007,2025-04-24,英国,iOS,passport,register,success,2811,nil,auto,False,low,False,False,,group_b
EVT-000007,USR-000007,2025-04-24,英国,iOS,passport,doc_capture,success,23100,nil,auto,False,low,False,False,,group_b
EVT-000007,USR-000007,2025-04-24,英国,iOS,passport,ocr,success,4963,nil,auto,False,low,False,False,,group_b
EVT-000007,USR-000007,2025-04-24,英国,iOS,passport,liveness,success,21228,nil,auto,False,low,False,False,,group_b
EVT-000007,USR-000007,2025-04-24,英国,iOS,passport,review,success,42875,nil,auto,False,medium,False,False,,group_b
EVT-000007,USR-000007,2025-04-24,英国,iOS,passport,approved,success,5000,nil,auto,False,low,False,False,,group_b
EVT-000007,USR-000007,2025-04-24,英国,iOS,passport,first_deposit,success,31963,nil,auto,False,low,False,False,,group_b
EVT-000008,USR-000008,2025-04-29,阿联酋,Web,passport,register,success,1761,nil,auto,False,medium,False,False,,control
EVT-000008,USR-000008,2025-04-29,阿联酋,Web,passport,doc_capture,fail,13788,nil,auto,False,low,False,False,,control
EVT-000009,USR-000009,2025-04-29,德国,Android,passport,register,success,1745,nil,auto,False,medium,False,False,,group_a
EVT-000009,USR-000009,2025-04-29,德国,Android,passport,doc_capture,fail,9825,occlusion,auto,False,low,False,False,,group_a
EVT-000010,USR-000010,2025-04-27,俄罗斯,Android,id_card,register,success,1447,nil,auto,False,low,False,False,,group_b
EVT-000010,USR-000010,2025-04-27,俄罗斯,Android,id_card,doc_capture,success,25430,nil,auto,True,low,False,False,,group_b
EVT-000010,USR-000010,2025-04-27,俄罗斯,Android,id_card,ocr,success,7071,nil,auto,False,low,False,False,,group_b
EVT-000010,USR-000010,2025-04-27,俄罗斯,Android,id_card,liveness,fail,27167,timeout,auto,False,low,False,False,,group_b
EVT-000011,USR-000011,2025-04-03,美国,Android,id_card,register,success,615,nil,auto,False,low,False,False,,group_a
EVT-000011,USR-000011,2025-04-03,美国,Android,id_card,doc_capture,success,19100,nil,auto,True,low,False,False,,group_a
EVT-000011,USR-000011,2025-04-03,美国,Android,id_card,ocr,fail,4773,blur,auto,False,low,False,False,,group_a
EVT-000012,USR-000012,2025-04-21,印度,Web,id_card,register,success,1175,nil,auto,False,low,False,False,,group_a
EVT-000012,USR-000012,2025-04-21,印度,Web,id_card,doc_capture,success,12699,nil,auto,True,low,False,False,,group_a
EVT-000012,USR-000012,2025-04-21,印度,Web,id_card,ocr,success,13500,nil,auto,False,low,False,False,,group_a
EVT-000012,USR-000012,2025-04-21,印度,Web,id_card,liveness,success,17213,nil,auto,False,low,False,False,,group_a
EVT-000012,USR-000012,2025-04-21,印度,Web,id_card,review,success,59783,nil,manual,False,low,False,False,,group_a
EVT-000012,USR-000012,2025-04-21,印度,Web,id_card,approved,fail,2371,network_error,auto,False,low,False,False,,group_a
EVT-000013,USR-000013,2025-04-17,阿联酋,Android,drivers_license,register,success,1397,nil,auto,False,low,False,False,,group_b
EVT-000013,USR-000013,2025-04-17,阿联酋,Android,drivers_license,doc_capture,success,12747,nil,auto,False,low,False,False,,group_b
EVT-000013,USR-000013,2025-04-17,阿联酋,Android,drivers_license,ocr,success,7283,nil,auto,False,low,False,False,,group_b
EVT-000013,USR-000013,2025-04-17,阿联酋,Android,drivers_license,liveness,success,37923,nil,auto,False,high,False,False,,group_b
EVT-000013,USR-000013,2025-04-17,阿联酋,Android,drivers_license,review,success,92606,nil,manual,False,low,False,False,,group_b
EVT-000013,USR-000013,2025-04-17,阿联酋,Android,drivers_license,approved,success,5500,nil,manual,False,low,False,False,,group_b
EVT-000013,USR-000013,2025-04-17,阿联酋,Android,drivers_license,first_deposit,timeout,66000,nil,auto,False,low,False,False,,group_b
EVT-000014,USR-000014,2025-04-01,俄罗斯,iOS,passport,register,success,3000,nil,auto,False,low,False,False,,group_b
EVT-000014,USR-000014,2025-04-01,俄罗斯,iOS,passport,doc_capture,fail,27254,glare,auto,False,low,False,False,,group_b
EVT-000015,USR-000015,2025-04-15,美国,Android,id_card,register,success,1123,nil,auto,False,low,False,False,,group_b
EVT-000015,USR-000015,2025-04-15,美国,Android,id_card,doc_capture,success,19654,nil,auto,False,low,False,False,,group_b
EVT-000015,USR-000015,2025-04-15,美国,Android,id_card,ocr,success,15494,nil,auto,False,medium,False,False,,group_b
EVT-000015,USR-000015,2025-04-15,美国,Android,id_card,liveness,success,20557,nil,auto,False,low,False,False,,group_b
EVT-000015,USR-000015,2025-04-15,美国,Android,id_card,review,fail,104795,mismatch,auto,False,low,False,False,,group_b
EVT-000016,USR-000016,2025-04-04,美国,Android,id_card,register,success,1564,nil,auto,False,low,False,False,,group_a
EVT-000016,USR-000016,2025-04-04,美国,Android,id_card,doc_capture,fail,18016,nil,auto,False,low,False,False,,group_a
EVT-000017,USR-000017,2025-04-16,印度尼西亚,Android,id_card,register,success,2771,nil,auto,False,low,False,False,,group_a
EVT-000017,USR-000017,2025-04-16,印度尼西亚,Android,id_card,doc_capture,success,16461,nil,auto,False,low,False,False,,group_a
EVT-000017,USR-000017,2025-04-16,印度尼西亚,Android,id_card,ocr,fail,14174,glare,auto,False,low,False,False,,group_a
EVT-000018,USR-000018,2025-04-22,土耳其,iOS,drivers_license,register,success,2246,nil,auto,False,low,False,False,,group_a
EVT-000018,USR-000018,2025-04-22,土耳其,iOS,drivers_license,doc_capture,success,30000,nil,auto,True,low,False,False,,group_a
EVT-000018,USR-000018,2025-04-22,土耳其,iOS,drivers_license,ocr,timeout,15000,nil,auto,False,low,False,False,,group_a
EVT-000019,USR-000019,2025-04-25,越南,Android,passport,register,success,979,nil,auto,False,high,False,False,,control
EVT-000019,USR-000019,2025-04-25,越南,Android,passport,doc_capture,success,14879,nil,auto,True,medium,False,False,,control
EVT-000019,USR-000019,2025-04-25,越南,Android,passport,ocr,success,3910,nil,auto,False,low,False,False,,control
EVT-000019,USR-000019,2025-04-25,越南,Android,passport,liveness,fail,29462,network_error,auto,False,low,False,False,,control
EVT-000020,USR-000020,2025-04-17,阿根廷,Android,passport,register,success,3300,nil,auto,False,low,False,False,,control
EVT-000020,USR-000020,2025-04-17,阿根廷,Android,passport,doc_capture,success,27099,nil,auto,False,low,False,False,,control
EVT-000020,USR-000020,2025-04-17,阿根廷,Android,passport,ocr,success,8123,nil,auto,False,low,False,False,,control
EVT-000020,USR-000020,2025-04-17,阿根廷,Android,passport,liveness,success,11136,nil,auto,False,low,False,False,,control
EVT-000020,USR-000020,2025-04-17,阿根廷,Android,passport,review,success,66380,nil,auto,False,low,False,False,,control
EVT-000020,USR-000020,2025-04-17,阿根廷,Android,passport,approved,success,1611,nil,auto,False,medium,False,False,,control
EVT-000020,USR-000020,2025-04-17,阿根廷,Android,passport,first_deposit,success,42686,nil,auto,False,low,False,False,,control
EVT-000021,USR-000021,2025-04-05,印度,iOS,passport,register,success,2004,nil,auto,False,low,False,False,,control
EVT-000021,USR-000021,2025-04-05,印度,iOS,passport,doc_capture,success,29221,nil,auto,True,low,False,False,,control
EVT-000021,USR-000021,2025-04-05,印度,iOS,passport,ocr,success,6136,nil,auto,False,low,False,False,,control
EVT-000021,USR-000021,2025-04-05,印度,iOS,passport,liveness,success,17995,nil,auto,False,low,False,False,,control
EVT-000021,USR-000021,2025-04-05,印度,iOS,passport,review,success,83383,nil,auto,False,low,False,False,,control
EVT-000021,USR-000021,2025-04-05,印度,iOS,passport,approved,success,2979,nil,auto,False,low,False,False,,control
EVT-000021,USR-000021,2025-04-05,印度,iOS,passport,first_deposit,success,22074,nil,auto,False,low,False,False,,control
EVT-000022,USR-000022,2025-04-21,加拿大,Android,passport,register,success,986,nil,auto,False,low,False,False,,group_a
EVT-000022,USR-000022,2025-04-21,加拿大,Android,passport,doc_capture,success,17642,nil,auto,False,low,False,False,,group_a
EVT-000022,USR-000022,2025-04-21,加拿大,Android,passport,ocr,success,9272,nil,auto,False,low,False,False,,group_a
EVT-000022,USR-000022,2025-04-21,加拿大,Android,passport,liveness,success,26740,nil,auto,False,low,False,False,,group_a
EVT-000022,USR-000022,2025-04-21,加拿大,Android,passport,review,success,45046,nil,auto,False,medium,False,False,,group_a
EVT-000022,USR-000022,2025-04-21,加拿大,Android,passport,approved,success,1946,nil,auto,False,medium,False,False,,group_a
EVT-000022,USR-000022,2025-04-21,加拿大,Android,passport,first_deposit,success,25629,nil,auto,False,low,False,False,,group_a
EVT-000023,USR-000023,2025-04-10,越南,Android,passport,register,success,1573,nil,auto,False,low,False,False,,control
